dataset,ks_vs_source,ks_p,mean_score,source_mean_score
cbis_test,0.08380743928131336,0.0009661675023613305,0.4881014773103821,0.46368167016793355
mias,0.21015752168816806,7.322475780658943e-05,0.5606021115773109,0.46368167016793355
inbreast,0.2927117700838733,5.802081405516265e-10,0.6451905298212122,0.46368167016793355
