dataset,n,pointing_hit,energy,iou,pointing_hit_centre,energy_centre,pointing_hit_random,energy_random,mask_frac,conc_gradcam,conc_centre,conc_random,hit_when_correct,hit_when_wrong
cbis_test|native,379,0.37467018469656993,0.2760633098487137,0.2256702138439881,0.8759894459102903,0.4476517830751836,0.08443271767810026,0.21823226595616907,0.21818360321536265,1.2652798183748926,2.0517205531403735,1.000223035737284,0.5472972972972973,0.26406926406926406
cbis_test|widefield,379,0.2717678100263852,0.10657302258781505,0.12292914337845519,0.029023746701846966,0.10500308883617429,0.023746701846965697,0.06199948365817284,0.06204298073945937,1.7177289246523022,1.6924249541961847,0.9992989201877777,0.3716216216216216,0.2077922077922078
mias|native,119,0.6386554621848739,0.5490484216667226,0.21371380854950742,0.8991596638655462,0.6864987351078095,0.25210084033613445,0.4589854796835761,0.4588282857785972,1.1966315911300645,1.4961996816366119,1.0003425985490677,0.7647058823529411,0.5441176470588235
mias|widefield,119,0.5126050420168067,0.2952798788211731,0.2935285267419834,0.20168067226890757,0.2529696480074492,0.04201680672268908,0.1563700666561128,0.15625200973246445,1.8897669177295893,1.618984923397691,1.000755554593189,0.6078431372549019,0.4411764705882353
