seed,cbis_val,cbis_test,mias,inbreast
2021,0.8381620544801004,0.7502708925910877,0.7442329873125721,0.8782336033446565
7,0.7835462747691061,0.7443197209806311,0.7295271049596309,0.8858113404755682
123,0.7700607817989182,0.7443281863741027,0.7217416378316032,0.882675725111053
42,0.802475956619603,0.7472402817282947,0.71280276816609,0.8753592892605173
2024,0.8168290043290043,0.7234355952864691,0.7332756632064591,0.8581134047556833
5,0.821060631650059,0.7473587972368956,0.7502883506343714,0.8907760648027174
777,0.8229221232757116,0.7482053365840444,0.7427912341407151,0.8690880585314869
31337,0.7528919860627177,0.7393505350128674,0.7381776239907728,0.8735301802978834
99,0.7360047727950682,0.75301368007585,0.7301038062283737,0.8722236738960021
1234,0.833353026901414,0.7495597995394825,0.7410611303344867,0.8858113404755683
