arm,dataset,n,n_clusters,auc_seed_mean,auc_seed_std,auc_seed_min,auc_seed_max,n_seeds,auc_ens,delong_lo,delong_hi,boot_patch_lo,boot_patch_hi,boot_cluster_lo,boot_cluster_hi,sens@0.5,spec@0.5,acc@0.5,tp,fp,tn,fn,brier,ece
official,cbis_test,704,349,0.7447082825409727,0.007941367928587411,0.7234355952864691,0.75301368007585,10,0.7486878640119192,0.7124532400536814,0.7849224879701571,0.709267863243618,0.783196757787667,0.7031268729747799,0.7936078965149849,0.7028985507246377,0.647196261682243,0.6690340909090909,194,151,277,82,0.20600098351613141,0.10381004205754119
official,mias,119,111,0.7344002306805076,0.010715980176763411,0.71280276816609,0.7502883506343714,10,0.7373125720876588,0.6472200178293567,0.8274051263459609,0.648506778597964,0.8228426312609985,0.640320497180655,0.8262417284997342,0.7843137254901961,0.5147058823529411,0.6302521008403361,40,33,35,11,0.21783626653303312,0.1531763472747899
official,inbreast,132,107,0.8771622680951137,0.009139906433186924,0.8581134047556833,0.8907760648027174,10,0.8818918212699243,0.8207489603639565,0.943034682175892,0.817785382231405,0.9383283534611059,0.803916108621991,0.9456531916625956,0.8876404494382022,0.7441860465116279,0.8409090909090909,79,11,32,10,0.13104903114017455,0.08459160645757577
patient_disjoint,cbis_test,704,349,0.7460593593390221,0.004144363474068141,0.7365654205607477,0.7522687254503589,10,0.7496783150480832,0.7134768538693362,0.7858797762268303,0.7103656525594055,0.7835608068084766,0.7045828575687562,0.7935772745005266,0.717391304347826,0.6214953271028038,0.6590909090909091,198,162,266,78,0.20766062230050356,0.10578978715604544
patient_disjoint,mias,119,111,0.7311130334486735,0.008911154340005329,0.7177047289504036,0.7448096885813148,10,0.733275663206459,0.642689316249355,0.823862010163563,0.6430115273422906,0.8180799702058504,0.6376365995115996,0.8218201055125607,0.7843137254901961,0.5147058823529411,0.6302521008403361,40,33,35,11,0.22076674688608622,0.15641445545714297
patient_disjoint,inbreast,132,107,0.8707603867258952,0.008444681723182463,0.8552390906715444,0.885550039195192,10,0.8784949046250325,0.8184411699660681,0.938548639283997,0.8135294892397165,0.9342400783619818,0.8017531969985203,0.941438363396939,0.8876404494382022,0.7441860465116279,0.8409090909090909,79,11,32,10,0.13367480063801299,0.09472462068636359
