size,seed,val_auc,test_auc,secs
224,2021,0.6668081494057725,0.6366926935208645,71
224,7,0.6691683919944791,0.6623403485185377,62
224,123,0.6616696700428758,0.6149361394074151,66
512,2021,0.7500786015217256,0.6937277005015772,311
512,7,0.7697981366459627,0.7197890273540514,337
512,123,0.7932952215248866,0.6999974145509075,342
