seed,cbis_val,cbis_test,mias,inbreast
2021,0.8084380461013564,0.7428721386970066,0.7277970011534025,0.885550039195192
7,0.8024211298606017,0.7471556277935798,0.7202998846597463,0.8625555265220799
123,0.8255128412211274,0.7522687254503589,0.7177047289504036,0.8615103214005749
42,0.7380285975053241,0.7365654205607477,0.7243367935409458,0.869349359811863
2024,0.750932647711232,0.7444128403088175,0.7361591695501731,0.8761431931016462
5,0.7846759756534193,0.746706961939591,0.7280853517877739,0.8722236738960021
777,0.800536024724744,0.748129148042801,0.7448096885813148,0.8737914815782597
31337,0.8169542577088013,0.7509565894622782,0.7387543252595156,0.8732688790175073
99,0.8222650231124807,0.7460212650684003,0.7295271049596309,0.8552390906715444
1234,0.7817290975185711,0.7455048760666396,0.7436562860438292,0.8779723020642802
